"ID","Title","Organisation ID","Organisation Name","Organisation Profile","Posted By - Name","Posted By - Profile","Short description","Location","Remote work allowed","Benefits","Workplace type","Description","Seniority level","Under 10 applications","Job functions","Date posted","Date expires","Industry","Source domain","Easy apply","Job type","Industry","Link"
"4235889009","Senior Analytics Engineer","b3JnOjE3NzY3","Sanlam","https://www.linkedin.com/company/sanlam/life","","","-","Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4235889009"
"4237435952","Data Engineer","b3JnOjUxMjQwMA==","Smollan","https://www.linkedin.com/company/smollan-group/life","","","-","Johannesburg Metropolitan Area (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4237435952"
"4246347693","Data Engineering Technical Lead","b3JnOjc2ODk0Mg==","PwC South Africa","https://www.linkedin.com/company/pwc-south-africa/life","","","-","Gauteng, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4246347693"
"4241877836","Airtable Solutions - Creative Operations Officer","b3JnOjMxNTEzNzk=","Storm Ideas","https://www.linkedin.com/company/storm-ideas/life","","","-","City of Cape Town, Western Cape, South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4241877836"
"4250437739","Azure Platform Engineer","b3JnOjc0OTgxNTM3","Kocho","https://www.linkedin.com/company/kocho/life","","","-","City of Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4250437739"
"4251174804","Cloud Engineer","b3JnOjQyNzAw","Tata Consultancy Services","https://www.linkedin.com/company/tata-consultancy-services/life","","","-","Johannesburg Metropolitan Area (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4251174804"
"4247902820","Business Intelligence Engineer","b3JnOjMxNDI1MjMxNg==","Superbalist","https://www.linkedin.com/company/superbalist-com/life","","","-","City of Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4247902820"
"4241229670","Senior Cloud Engineer","b3JnOjk3NjE0NDQ=","Theodo UK","https://www.linkedin.com/company/theodo-uk/life","","","-","City of Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4241229670"
"4238240413","Python Developer","b3JnOjI2Mzk4OTE=","Oakwell Hampton Group","https://www.linkedin.com/company/oakwell-hampton/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4238240413"
"4224658010","Junior Infrastructure Engineer- IN Office role","b3JnOjYwMzg3ODc=","1-grid","https://www.linkedin.com/company/1grid/life","","","-","Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4224658010"
